p,Sigma (σ)
0.0,7.215313844784095e-21
0.05263157894736842,5.7883959044368616e-21
0.10526315789473684,4.357520898253946e-21
0.15789473684210525,4.046495523569275e-21
0.21052631578947367,2.735915318791117e-21
0.2631578947368421,2.0679626057278532e-21
0.3157894736842105,2.107533264084682e-21
0.3684210526315789,6.435771875154574e-21
0.42105263157894735,5.1038235148637295e-21
0.47368421052631576,1.1310085571548698e-20
0.5263157894736842,1.4043626650838408e-20
0.5789473684210527,2.897363604886977e-20
0.631578947368421,5.322016125043282e-20
0.6842105263157894,1.400342286194787e-19
0.7368421052631579,2.9866508384033243e-19
0.7894736842105263,5.541087203838355e-19
0.8421052631578947,9.696220012860467e-19
0.894736842105263,1.1527383884849387e-18
0.9473684210526315,1.3369295147648022e-18
1.0,1.4558235148637288e-18
